X,Y
0.000000,0.248344
0.084500,0.273191
0.217400,0.308908
0.398200,0.357353
0.626700,0.418971
0.902500,0.493486
1.225100,0.580593
1.594100,0.679920
2.008900,0.790981
2.468900,0.913107
2.973600,1.045757
3.522400,1.188428
4.114400,1.340178
4.749100,1.500391
5.425600,1.667926
6.143300,1.842446
6.901100,2.023057
7.698400,2.208926
8.534300,2.399303
9.407800,2.593132
10.318100,2.789626
11.264300,2.987857
12.245300,3.186956
13.260400,3.386004
14.308400,3.584040
15.388400,3.780156
16.499500,3.973498
17.640500,4.163175
18.810600,4.348159
20.008600,4.527636
21.233600,4.700162
22.484500,4.865267
23.760300,5.022267
25.059900,5.170350
26.382100,5.308638
27.726100,5.436398
29.090600,5.552891
30.474500,5.657393
31.876700,5.749211
33.296200,5.827681
34.731700,5.892175
36.182000,5.942080
37.646100,5.976892
39.122600,5.996195
40.621800,5.999581
42.147200,5.993198
43.680700,5.979054
45.220900,5.957131
46.766500,5.927215
48.315900,5.889349
49.867700,5.843389
51.420500,5.789503
52.972600,5.727563
54.522800,5.657741
56.069400,5.580079
57.611000,5.494713
59.146100,5.401831
60.673100,5.301597
62.190700,5.194236
63.697300,5.080012
65.191400,4.959184
66.671600,4.832084
68.136400,4.699072
69.584200,4.560513
71.013800,4.416675
72.423500,4.268140
73.812100,4.115241
75.178100,3.958510
76.520000,3.798341
77.836700,3.635271
79.126600,3.469817
80.388400,3.302519
81.621000,3.133823
82.822900,2.964406
83.992900,2.794717
85.129900,2.625354
86.232600,2.456853
87.299800,2.289872
88.330500,2.124869
89.323500,1.962473
90.277800,1.803253
91.192300,1.647718
92.066200,1.496402
92.898300,1.349909
93.688000,1.208641
94.434200,1.073186
95.136100,0.944007
95.793100,0.821577
96.404400,0.706282
96.969300,0.598626
97.487200,0.498909
97.957600,0.407565
98.379800,0.324902
98.753500,0.251222
99.078200,0.186870
99.353500,0.131956
99.579300,0.086722
99.755100,0.051395
99.880800,0.026078
99.956300,0.010812
99.981500,0.005702
100.000000,0.000000
