X,Y
0.000000,0.299570
0.079100,0.312981
0.206700,0.333125
0.382300,0.361446
0.605700,0.398299
0.876500,0.443615
1.194200,0.497142
1.558500,0.558726
1.968800,0.628010
2.424500,0.704068
2.925000,0.787169
3.469800,0.876891
4.058100,0.972628
4.689300,1.074076
5.362600,1.180661
6.077300,1.291927
6.832500,1.407306
7.627400,1.526316
8.461300,1.648387
9.333200,1.772907
10.242300,1.899333
11.187600,2.027159
12.168200,2.155709
13.183100,2.284407
14.231500,2.412680
15.312300,2.539997
16.424500,2.665666
17.567200,2.789173
18.739300,2.909592
19.939800,3.026253
21.167600,3.138982
22.421800,3.247091
23.701200,3.350117
25.004700,3.447498
26.331200,3.538596
27.679700,3.623001
29.049100,3.700112
30.438100,3.769453
31.845600,3.830502
33.270400,3.882909
34.711500,3.926170
36.167400,3.959808
37.637100,3.983574
39.119300,3.997027
40.622800,3.999883
42.150600,3.995968
43.686500,3.986928
45.229100,3.972743
46.776900,3.953286
48.328500,3.928533
49.882400,3.898451
51.437100,3.863010
52.991100,3.822245
54.543000,3.776193
56.091200,3.724962
57.634200,3.668542
59.170600,3.607129
60.698900,3.540701
62.217500,3.469578
63.724900,3.393815
65.219800,3.313631
66.700600,3.229214
68.165700,3.140777
69.613900,3.048649
71.043600,2.953005
72.453400,2.854088
73.841800,2.752284
75.207600,2.647858
76.549200,2.541137
77.865300,2.432422
79.154700,2.322071
80.415800,2.210457
81.647600,2.097878
82.848600,1.984715
84.017800,1.871425
85.153700,1.758303
86.255300,1.645736
87.321400,1.534126
88.350900,1.423867
89.342700,1.315282
90.295800,1.208739
91.209100,1.104701
92.081800,1.003419
92.912700,0.905385
93.701100,0.810778
94.446100,0.720063
95.147000,0.633575
95.802800,0.551571
96.413100,0.474296
96.977000,0.402116
97.493900,0.335296
97.963400,0.274065
98.384800,0.218683
98.757800,0.169286
99.081900,0.126128
99.356700,0.089265
99.581900,0.058961
99.757400,0.035260
99.882900,0.018258
99.958200,0.008058
99.983300,0.004616
100.000000,0.000000
