Alpha,Cl,Cd
-180.0,-1633123935319537.0,0.001
-179.0,-11.44577736941188,0.001
-178.0,-5.702834828105,0.001
-177.0,-3.7796387916305965,0.001
-176.0,-2.8114141802038812,0.001
-175.0,-2.2252170472843598,0.001
-174.0,-1.8300752468022616,0.001
-173.0,-1.5441513722640852,0.001
-172.0,-1.3265334799284323,0.001
-171.0,-1.1544986529794006,0.001
-170.0,-1.0144184180976406,0.001
-169.0,-0.8976248357334864,0.001
-168.0,-0.7983435378625345,0.001
-167.0,-0.712580741611663,0.001
-166.0,-0.6374872509320492,0.001
-165.0,-0.5709768520107495,0.001
-164.0,-0.5114878052752986,0.001
-163.0,-0.4578285119808828,0.001
-162.0,-0.4090746209372263,0.001
-161.0,-0.3644986238623199,0.011442765636707278
-160.0,-0.32352056846152155,0.023008516361920237
-159.0,-0.2856728501083498,0.03506954461158267
-158.0,-0.2505746026899209,0.047611714373995834
-157.0,-0.21791276725004044,0.06062032942525733
-156.0,-0.18742789085646896,0.074080151056311
-155.0,-0.15890333134666632,0.0879754164530654
-154.0,-0.13215695110114,0.10228985770725403
-153.0,-0.10703465465665962,0.1170067214349267
-152.0,-0.08340530931421203,0.13210878897873382
-151.0,-0.061156715029267505,0.1475783971694581
-150.0,-0.04019237886466853,0.16339745962155605
-149.0,-0.020428912442382208,0.17954748853684355
-148.0,-0.001793916223580605,0.19600961698981864
-147.0,0.01577575254045327,0.21276462166755775
-146.0,0.032335407069905536,0.2297929460365399
-145.0,0.04793371438176197,0.24707472390826624
-144.0,0.06261368200622483,0.2645898033750317
-143.0,0.07641348518740854,0.282317771086771
-142.0,0.08936716385138185,0.3002379768394941
-141.0,0.10150521261695925,0.31832955844542316
-140.0,0.11285508246888792,0.33657146685463724
-139.0,0.12344160907940968,0.35494249149769
-138.0,0.13328737990933198,0.37342128581843403
-137.0,0.14241304996252202,0.3919863929660202
-136.0,0.15083761427238285,0.4106162716148842
-135.0,0.1585786437626905,0.4292893218813454
-134.0,0.16565248997012316,0.4479839113053506
-133.0,0.17207446318206232,0.46667840086581297
-132.0,0.1778589877846856,0.48535117099794095
-131.0,0.1830197379972633,0.5039806475809823
-130.0,0.18756975666100223,0.5225453278648112
-129.0,0.19152155933290244,0.5410238063038962
-128.0,0.19488722558962757,0.5593948002672681
-127.0,0.19767847915970907,0.5776371755932946
-126.0,0.1999067582635776,0.5957299719582264
-125.0,0.20158327734127962,0.6136524280277296
-124.0,0.2027190811802635,0.6313840063608814
-123.0,0.20332509231467558,0.6489044180363974
-122.0,0.20341215244861596,0.6661936469712184
